TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:1006228253	AT2G13118	AT2G13118.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Ptta/En/Spm), has a 4.3e-08 P-value blast match to At5g36655.1/81-333 CACTA-like transposase family (Ptta/En/Spm) (CACTA-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006228723	AT3G43359	AT3G43359.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to putative helicase, blastp match of 49%25 identity and 3.0e-51 P-value to GP|14140296|gb|AAK54302.1|AC034258_20|AC034258 putative helicase {Oryza sativa (japonica cultivar-group)};(source:TAIR10)		 	false
Gene:1006228947	AT4G02312	AT4G02312.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006229195	AT5G26236	AT5G26236.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 3.5e-307 P-value blast match to GB:AAD27547 polyprotein (Gypsy_Ty3-element) (Oryza sativa subsp. indica);(source:TAIR10)		 	false
Gene:2035917	AT1G42360	AT1G42360.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2093836	AT3G29440	AT3G29440.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 6.9e-10 P-value blast match to GB:AAC24836 pol polyprotein (Ty1_Copia-element) (Candida albicans);(source:TAIR10)		 	true
Gene:2123395	AT4G10830	AT4G10830.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 2.1e-39 P-value blast match to GB:NP_038605 L1 repeat, Tf subfamily, member 30 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:2099783	AT3G31380	AT3G31380.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 4.2e-20 P-value blast match to gb|AAO73529.1| gag-pol polyprotein (Glycine max) (SIRE1) (Ty1_Copia-family);(source:TAIR10)		 	false
Gene:2150390	AT5G35040	AT5G35040.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G07690.1);(source:TAIR10)		 	false
Gene:2140415	AT4G19310	AT4G19310.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to Ulp1 protease family protein [Arabidopsis thaliana] (TAIR:AT1G35110.1);(source:TAIR10)		 	false
Gene:2141297	AT4G07750	AT4G07750.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Tnp2/En/Spm), has a 2.9e-168 P-value blast match to gb|AAG52024.1|AC022456_5 Tam1-homologous transposon protein TNP2, putative;(source:TAIR10)		 	false
Gene:2152276	AT5G38870	AT5G38870.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 collective leaf structure, cotyledon, guard cell	false
Gene:2149073	AT5G36840	AT5G36840.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G24380.1);(source:TAIR10)		 	true
Gene:2128673	AT4G20500	AT4G20500.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to filament protein-related [Arabidopsis thaliana] (TAIR:AT4G20730.1);(source:TAIR10)		 M germinated pollen stage, pollen, pollen tube cell	false
Gene:2138575	AT4G08650	AT4G08650.1	transposable_element_gene	transposable_element_gene;(source:Araport11);hypothetical protein;(source:TAIR10)		 	false
Gene:3434720	AT1G42718	AT1G42718.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Tnp2/En/Spm), has a 5.4e-130 P-value blast match to GB:CAA40555 TNP2 (CACTA-element) (Antirrhinum majus);(source:TAIR10)		 	false
Gene:2825776	AT1G46552	AT1G46552.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 1.6e-184 P-value blast match to GB:CAA72989 open reading frame 1 (Ty1_Copia-element) (Brassica oleracea);(source:TAIR10)		 	false
Gene:2183496	AT5G34880	AT5G34880.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 2.2e-11 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 plant sperm cell	false
Gene:2826739	AT1G39590	AT1G39590.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.4e-256 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1005714227	AT4G06538	AT4G06538.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1005714240	AT4G06518	AT4G06518.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1005714259	AT4G06512	AT4G06512.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.1e-29 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1005714276	AT4G06714	AT4G06714.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 0. P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006229602	AT1G47565	AT1G47565.1	transposable_element_gene	transposable_element_gene;(source:Araport11);retrotransposon gag protein, contains Pfam:PF03732 Retrotransposon gag protein;(source:TAIR10)		 guard cell	false
Gene:1006229964	AT1G41827	AT1G41827.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 2.2e-11 P-value blast match to GB:CAB39733 rotease, reverse transcriptase, ribonuclease H, integrase (Gypsy_Ty3-element) (Drosophila buzzatii);(source:TAIR10)		 	false
Gene:1006227902	AT1G36770	AT1G36770.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.3e-41 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006228009	AT2G16832	AT2G16832.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 4.7e-22 P-value blast match to O65231 /281-442 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:1006228375	AT2G06917	AT2G06917.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006228741	AT3G48523	AT3G48523.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 0. P-value blast match to GB:CAA31653 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006228818	AT4G08033	AT4G08033.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006228944	AT4G07586	AT4G07586.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006227945	AT4G07947	AT4G07947.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006228996	AT4G04167	AT4G04167.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (En/Spm), has a 3.0e-60 P-value blast match to dbj|BAB64937.1| TdcA1-ORF1-ORF2 (Daucus carota) Spm/En-like (CACTA-like);(source:TAIR10)		 	false
Gene:2042274	AT2G13190	AT2G13190.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 3.5e-06 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:2054109	AT2G13480	AT2G13480.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, similar to GB:AAA75253;(source:TAIR10)		 	false
Gene:2055169	AT2G14430	AT2G14430.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 2.5e-45 P-value blast match to GB:BAA20419 reverse transcriptase (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:2058057	AT2G14380	AT2G14380.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 1.6e-123 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:3436917	AT2G04310	AT2G04310.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 6.2e-78 P-value blast match to O80466 /172-336 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2058943	AT2G05560	AT2G05560.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, Ulp1 protease family, contains Pfam profile PF02902: Ulp1 protease family, C-terminal catalytic domain;(source:TAIR10)		 	false
Gene:2085809	AT3G30830	AT3G30830.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 6.8e-26 P-value blast match to gb|AAG52950.1| putative envelope protein (Endovir1-1) (Arabidopsis thaliana) (Ty1_Copia-family);(source:TAIR10)		 	false
Gene:2100946	AT3G60930	AT3G60930.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G06603.1);(source:TAIR10)		 guard cell	true
Gene:2826517	AT1G40230	AT1G40230.1	transposable_element_gene	transposable_element_gene;(source:Araport11)		 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, seed, shoot apex, shoot system, stem, vascular leaf, vascular leaf senescent stage	false
Gene:504952937	AT5G28466	AT5G28466.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 5.2e-14 P-value blast match to GB:AAC24836 pol polyprotein (Ty1_Copia-element) (Candida albicans);(source:TAIR10)		 	false
Gene:504954258	AT5G34854	AT5G34854.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 1.3e-96 P-value blast match to gb|AAG52949.1| gag/pol polyprotein (Endovir1-1) (Arabidopsis thaliana) (Ty1_Copia-family);(source:TAIR10)		 	false
Gene:504953062	AT5G34839	AT5G34839.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 2.4e-09 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504953154	AT4G04545	AT4G04545.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to Ulp1 protease family protein [Arabidopsis thaliana] (TAIR:AT3G09170.1);(source:TAIR10)		 	false
Gene:504953181	AT4G07856	AT4G07856.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 1.7e-218 P-value blast match to GB:AAD27547 polyprotein (Gypsy_Ty3-element) (Oryza sativa subsp. indica);(source:TAIR10)		 	false
Gene:504953221	AT4G08056	AT4G08056.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G30843.1);(source:TAIR10)		 	false
Gene:504953343	AT4G07454	AT4G07454.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 2.2e-139 P-value blast match to GB:AAD22153 polyprotein (Gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:1006229259	AT5G36075	AT5G36075.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 3.2e-61 P-value blast match to Q9S9L6 /322-461 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:4010713182	AT5G28626	AT5G28626.1	transposable_element_gene	Member of Sadhu non-coding retrotransposon family The mRNA is cell-to-cell mobile.	SADHU NON-CODING RETROTRANSPOSON 1-3; SADHU1-3	 cell-to-cell mobile RNA, guard cell	true
Gene:2014956	AT1G21220	AT1G21220.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 3.9e-26 P-value blast match to GB:CAA72989 open reading frame 1 (Ty1_Copia-element) (Brassica oleracea);(source:TAIR10)		 LP.08 eight leaves visible stage, flower, guard cell, hypocotyl, inflorescence meristem, leaf apex, petal differentiation and expansion stage, root, shoot apex, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2029228	AT1G36440	AT1G36440.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, contains Pfam profile PF03384: Drosophila protein of unknown function, DUF287;(source:TAIR10)		 	false
Gene:2036714	AT1G42690	AT1G42690.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to B, blastp match of 48%25 identity and 4.4e-72 P-value to GP|22830897|dbj|BAC15771.1||AB087616 B {Oryza sativa (japonica cultivar-group)};(source:TAIR10)		 	false
Gene:2052129	AT2G10070	AT2G10070.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G40125.1);(source:TAIR10)		 LP.04 four leaves visible stage, LP.10 ten leaves visible stage, carpel, collective leaf structure, flower, flowering stage, hypocotyl, inflorescence meristem, mature plant embryo stage, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, root, seed, sepal, shoot apex, shoot system, stem, synergid, vascular leaf	true
Gene:2052194	AT2G09930	AT2G09930.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2123390	AT4G10990	AT4G10990.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 1.2e-190 P-value blast match to GB:CAA72989 open reading frame 1 (Ty1_Copia-element) (Brassica oleracea);(source:TAIR10)		 	false
Gene:2088124	AT3G13260	AT3G13260.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to replication protein-related [Arabidopsis thaliana] (TAIR:AT5G35260.1);(source:TAIR10)		 	false
Gene:2096493	AT3G42580	AT3G42580.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to Ulp1 protease family protein [Arabidopsis thaliana] (TAIR:AT2G12100.1);(source:TAIR10)		 epidermis	false
Gene:2081340	AT3G42240	AT3G42240.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G43940.1);(source:TAIR10)		 synergid	false
Gene:2140709	AT4G03700	AT4G03700.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, replication protein-related, similar to  immunoglobulin heavy chain variable region (GI:4456528) (Homo sapiens);(source:TAIR10)		 plant sperm cell	false
Gene:2124386	AT4G07430	AT4G07430.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G07310.1);(source:TAIR10)		 carpel, flower, petal differentiation and expansion stage, stem	false
Gene:2136601	AT4G03990	AT4G03990.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to heat shock protein binding [Arabidopsis thaliana] (TAIR:AT1G32830.1);(source:TAIR10)		 	false
Gene:2824006	AT1G48810	AT1G48810.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 7.2e-46 P-value blast match to GB:CAA72990 open reading frame 2 (Ty1_Copia-element) (Brassica oleracea);(source:TAIR10)		 	false
Gene:2824575	AT1G36290	AT1G36290.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 1.7e-09 P-value blast match to GB:AAB41224 ORF2 (LINE-element) (Rattus norvegicus);(source:TAIR10)		 	false
Gene:2824695	AT1G35612	AT1G35612.1	transposable_element_gene	pseudogene of Ulp1 protease family protein		 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, root, seed, sepal, shoot apex, stem, vascular leaf, vascular leaf senescent stage	false
Gene:2182391	AT5G35240	AT5G35240.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to putative transposable element,  blastp match of 47%25 identity and 9.3e-52 P-value to GP|13122426|dbj|BAB32907.1||AP003047 putative transposable element {Oryza sativa (japonica cultivar-group)};(source:TAIR10)		 	false
Gene:2828616	AT3G32475	AT3G32475.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2828780	AT3G34299	AT3G34299.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 1.1e-40 P-value blast match to Q9SI25 /181-349 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:3438411	AT3G33083	AT3G33083.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 4.1e-144 P-value blast match to GB:CAA73042 polyprotein (Gypsy_Ty3-element) (Ananas comosus);(source:TAIR10)		 	false
Gene:2829170	AT3G30815	AT3G30815.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 5.4e-34 P-value blast match to gb|AAO73529.1| gag-pol polyprotein (Glycine max) (SIRE1) (Ty1_Copia-family);(source:TAIR10)		 	false
Gene:2829482	AT3G30708	AT3G30708.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 4.3e-90 P-value blast match to gb|AAL06420.1|AF378078_1 reverse transcriptase (Arabidopsis thaliana) (Gypsy_Ty3-family);(source:TAIR10)		 	false
Gene:2829745	AT3G28865	AT3G28865.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 5.8e-16 P-value blast match to GB:NP_038603 L1 repeat, Tf subfamily, member 23 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:2830378	AT3G32968	AT3G32968.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 2.2e-26 P-value blast match to GB:AAA21566 mudrA of transposon=MuDR (MuDr-element) (Zea mays);(source:TAIR10)		 	false
Gene:504952623	AT5G33175	AT5G33175.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 4.0e-31 P-value blast match to GB:BAA01703 ORF (Ty1_Copia-element) (Drosophila simulans);(source:TAIR10)		 	false
Gene:2830608	AT3G31375	AT3G31375.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 1.1e-98 P-value blast match to T22B15 reverse transcriptase (from Dan Voytas http://www.public.iastate.edu/~voytas) (Gypsy_Ty3-family);(source:TAIR10)		 	false
Gene:2830940	AT3G33545	AT3G33545.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to putative non-LTR retroelement reverse transcriptase, similar to reverse transcriptase - Arabidopsis thaliana retrotransposon Ta11-1. GB:S65812 (S65812);(source:TAIR10)		 	false
Gene:504952646	AT5G35205	AT5G35205.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 1.1e-36 P-value blast match to GB:BAA20419 reverse transcriptase (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:504952680	AT5G38383	AT5G38383.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 4.9e-185 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504952698	AT5G43415	AT5G43415.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 6.5e-36 P-value blast match to GB:NP_038605 L1 repeat, Tf subfamily, member 30 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:504954002	AT1G39515	AT1G39515.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.3e-36 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1005713995	AT4G06612	AT4G06612.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1005714009	AT4G06607	AT4G06607.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2055670	AT2G10230	AT2G10230.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, replication protein A1;(source:TAIR10)		 	false
Gene:2055761	AT2G14980	AT2G14980.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Tnp2/En/Spm), has a 1.2e-247 P-value blast match to gb|AAG52024.1|AC022456_5 Tam1-homologous transposon protein TNP2, putative;(source:TAIR10)		 	false
Gene:2058108	AT2G14320	AT2G14320.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 5.7e-45 P-value blast match to Q9SI25 /181-349 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2064746	AT2G05860	AT2G05860.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G07310.1);(source:TAIR10)		 	true
Gene:2063318	AT2G05680	AT2G05680.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2075705	AT3G47230	AT3G47230.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G12505.1);(source:TAIR10)		 guard cell	false
Gene:2080177	AT3G43680	AT3G43680.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G60930.1);(source:TAIR10)		 	false
Gene:2078276	AT3G45270	AT3G45270.1	transposable_element_gene	transposable_element_gene;(source:Araport11);hAT-like transposase family (hobo/Ac/Tam3), has a 5.7e-58 P-value blast match to GB:AAD24567 transposase Tag2 (hAT-element) (Arabidopsis thaliana);(source:TAIR10)		 plant sperm cell	false
Gene:2078555	AT3G42890	AT3G42890.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 1.4e-10 P-value blast match to GB:NP_038605 L1 repeat, Tf subfamily, member 30 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:2122152	AT4G35400	AT4G35400.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G48250.1);(source:TAIR10)		 	false
Gene:2096043	AT3G62520	AT3G62520.1	transposable_element_gene	transposable_element_gene;(source:Araport11);hAT-like transposase family (hobo/Ac/Tam3), has a 1.1e-86 P-value blast match to GB:CAA29005 ORFa of Maize Ac (hAT-element) (Zea mays);(source:TAIR10)		 	false
Gene:2097050	AT3G42420	AT3G42420.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to putative helicase, various predicted proteins, including predicted Helicases.;(source:TAIR10)		 	false
Gene:2091666	AT3G14500	AT3G14500.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to RNase H domain-containing protein [Arabidopsis thaliana] (TAIR:AT5G36905.1);(source:TAIR10)		 	false
Gene:2084785	AT3G43130	AT3G43130.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, predicted proteins, Arabidopsis thaliana;(source:TAIR10)		 	false
Gene:2084800	AT3G43060	AT3G43060.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2092604	AT3G30610	AT3G30610.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G12685.1);(source:TAIR10)		 	false
Gene:2826744	AT1G39670	AT1G39670.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Tnp2/En/Spm), has a 1.7e-56 P-value blast match to gb|AAG52024.1|AC022456_5 Tam1-homologous transposon protein TNP2, putative;(source:TAIR10)		 	false
Gene:2826683	AT1G43387	AT1G43387.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 6.0e-254 P-value blast match to GB:CAA31653 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2185417	AT5G34980	AT5G34980.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G32312.1);(source:TAIR10)		 	false
Gene:2176686	AT5G38230	AT5G38230.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Tnp1/En/Spm), has a 8.5e-53 P-value blast match to ref|NP_189784.1| TNP1-related protein (Arabidopsis thaliana) (CACTA-element);(source:TAIR10)		 	false
Gene:2179555	AT5G32490	AT5G32490.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006229431	AT5G32510	AT5G32510.2	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:504954191	AT5G34965	AT5G34965.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 0. P-value blast match to GB:CAA72989 open reading frame 1 (Ty1_Copia-element) (Brassica oleracea);(source:TAIR10)		 	false
Gene:504954204	AT5G33990	AT5G33990.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 5.0e-73 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504954315	AT5G28253	AT5G28253.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 1.2e-60 P-value blast match to Q9SHN7 /450-633 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:504953101	AT4G08871	AT4G08871.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (En/Spm), has a 1.2e-15 P-value blast match to GB:BAA20532 ORF of transposon Tdc1 (CACTA-element) (Daucus carota);(source:TAIR10)		 	false
Gene:1005715703	AT1G40113	AT1G40113.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 2.1e-155 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:1005715738	AT1G40072	AT1G40072.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:504953164	AT4G04145	AT4G04145.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 1.8e-189 P-value blast match to GB:AAA57005 Hopscotch polyprotein (Ty1_Copia-element) (Zea mays);(source:TAIR10)		 	false
